"locus_tag","gene","protein_id","kegg_id_kegg","kegg_id_eggnog","kegg_id_koala","dbcan_family","cayman_family","kegg_consensus"
"I5Q82_15175",NA,"QQR29381.1",NA,NA,NA,"GH106",NA,NA
"I5Q82_15180",NA,"QQR29382.1",NA,"K17318,K25670",NA,NA,NA,"K17318,K25670"
"I5Q82_15185",NA,"QQR32119.1",NA,"K17320,K25675",NA,NA,NA,"K17320,K25675"
"I5Q82_15190",NA,"QQR29383.1","K02025","K17319",NA,NA,NA,"K17319"
"I5Q82_15195",NA,"QQR29384.1",NA,NA,NA,NA,NA,NA
"I5Q82_15205",NA,"QQR29385.1","K26937","K26937",NA,NA,NA,"K26937"
"I5Q82_15210",NA,"QQR29386.1",NA,NA,NA,NA,NA,NA
"I5Q82_15215",NA,"QQR29387.1",NA,NA,NA,NA,NA,NA
"I5Q82_15220",NA,"QQR29388.1",NA,NA,NA,NA,NA,NA
"I5Q82_15225",NA,"QQR29389.1",NA,"K02477,K07707,K12295",NA,NA,NA,"K02477,K07707,K12295"
"I5Q82_15230",NA,"QQR29390.1",NA,"K07706,K11640",NA,NA,NA,"K07706,K11640"
"I5Q82_15235",NA,"QQR29391.1",NA,NA,NA,NA,NA,NA
"I5Q82_15240",NA,"QQR29392.1",NA,NA,NA,NA,NA,NA
"I5Q82_15245",NA,"QQR29393.1",NA,NA,NA,NA,NA,NA
"I5Q82_15250",NA,"QQR29394.1",NA,NA,NA,NA,NA,NA
"I5Q82_15255",NA,"QQR29395.1","K02025","K02025",NA,NA,NA,"K02025"
"I5Q82_15260",NA,"QQR29396.1","K05815","K02026",NA,NA,NA,"K02026"
"I5Q82_15265",NA,"QQR29397.1",NA,NA,NA,NA,NA,NA
"I5Q82_15270",NA,"QQR32120.1",NA,NA,NA,NA,NA,NA
"I5Q82_15290",NA,"QQR29398.1",NA,"K18344",NA,NA,NA,"K18344"
"I5Q82_15295",NA,"QQR29399.1",NA,"K18986",NA,NA,NA,"K18986"
"I5Q82_15300",NA,"QQR29400.1","K02004","K02004",NA,NA,NA,"K02004"
"I5Q82_15305",NA,"QQR29401.1",NA,NA,NA,NA,NA,NA
"I5Q82_15310",NA,"QQR29402.1","K02003","K02003",NA,NA,NA,"K02003"
"I5Q82_15325",NA,"QQR29403.1",NA,NA,NA,NA,NA,NA
"I5Q82_15330",NA,"QQR29404.1",NA,NA,NA,NA,NA,NA
"I5Q82_15340",NA,"QQR29405.1",NA,NA,NA,NA,NA,NA
"I5Q82_15345",NA,"QQR29406.1",NA,NA,NA,NA,NA,NA
"I5Q82_15350",NA,"QQR29407.1",NA,NA,NA,NA,NA,NA
"I5Q82_15355",NA,"QQR29408.1",NA,"K07497",NA,NA,NA,"K07497"
"I5Q82_15360",NA,"QQR29409.1",NA,"K02426",NA,NA,NA,"K02426"
"I5Q82_15365",NA,"QQR32121.1",NA,"K07775",NA,NA,NA,"K07775"
"I5Q82_15370",NA,"QQR29410.1",NA,"K02003",NA,NA,NA,"K02003"
"I5Q82_15375",NA,"QQR29411.1",NA,"K02004",NA,NA,NA,"K02004"
"I5Q82_15380",NA,"QQR29412.1","K02004","K02004",NA,NA,NA,"K02004"
"I5Q82_15385",NA,"QQR29413.1",NA,"K18345",NA,NA,NA,"K18345"
"I5Q82_15390",NA,"QQR29414.1","K11329","K18344",NA,NA,NA,"K18344"
"I5Q82_15395",NA,"QQR29415.1",NA,"K00764",NA,NA,NA,"K00764"
"I5Q82_15400",NA,"QQR32122.1",NA,"K05825",NA,NA,NA,"K05825"
"I5Q82_15405",NA,"QQR29416.1",NA,NA,NA,NA,NA,NA
"I5Q82_15410",NA,"QQR29417.1",NA,NA,NA,NA,NA,NA
"I5Q82_15415",NA,"QQR29418.1",NA,NA,NA,NA,NA,NA
"I5Q82_15420",NA,"QQR29419.1","K26993","K26993",NA,NA,NA,"K26993"
"I5Q82_15425",NA,"QQR29420.1",NA,"K26996",NA,NA,NA,"K26996"
"I5Q82_15440",NA,"QQR29421.1","K02315","K02315",NA,NA,NA,"K02315"
"I5Q82_15445",NA,"QQR29422.1",NA,NA,NA,NA,NA,NA
"I5Q82_15450",NA,"QQR29423.1",NA,"K01356,K07729,K18831,K21498,K22299,K22300",NA,NA,NA,"K01356,K07729,K18831,K21498,K22299,K22300"
"I5Q82_15455",NA,"QQR29424.1",NA,"K06421",NA,NA,NA,"K06421"
"I5Q82_15460",NA,"QQR29425.1","K07133","K07133",NA,NA,NA,"K07133"
"I5Q82_15465",NA,"QQR29426.1",NA,NA,NA,NA,NA,NA
"I5Q82_15470",NA,"QQR29427.1",NA,NA,NA,NA,NA,NA
"I5Q82_15475",NA,"QQR29428.1",NA,NA,NA,NA,NA,NA
"I5Q82_15480",NA,"QQR29429.1",NA,"K19092",NA,NA,NA,"K19092"
"I5Q82_15495",NA,"QQR29430.1",NA,NA,NA,NA,NA,NA
"I5Q82_15500",NA,"QQR29431.1",NA,NA,NA,NA,NA,NA
"I5Q82_15505",NA,"QQR29432.1",NA,"K13734",NA,NA,NA,"K13734"
"I5Q82_15510",NA,"QQR29433.1",NA,NA,NA,NA,NA,NA
"I5Q82_15515",NA,"QQR29434.1",NA,"K27494",NA,"GH172",NA,"K27494"
"I5Q82_15525",NA,"QQR29435.1",NA,"K03332",NA,"GH32",NA,"K03332"
"I5Q82_15530",NA,"QQR29436.1","K02529","K02529",NA,NA,NA,"K02529"
"I5Q82_15535",NA,"QQR29437.1","K25671","K17319,K25671",NA,NA,NA,"K17319,K25671"
"I5Q82_15540",NA,"QQR29438.1","K25672","K17320,K25672",NA,NA,NA,"K17320,K25672"
"I5Q82_15545",NA,"QQR29439.1","K25670","K17318,K25670",NA,NA,NA,"K17318,K25670"
"I5Q82_15550",NA,"QQR29440.1","K01209","K01209",NA,"GH51_1",NA,"K01209"
"I5Q82_15555",NA,"QQR29441.1","K00656","K20038",NA,NA,NA,"K20038"
"I5Q82_15560",NA,"QQR29442.1",NA,"K04069",NA,NA,NA,"K04069"
"I5Q82_15565",NA,"QQR29443.1",NA,"K01193",NA,"GH32",NA,"K01193"
"I5Q82_15570",NA,"QQR29444.1","K01193","K01193",NA,"GH32",NA,"K01193"
"I5Q82_15575",NA,"QQR29445.1",NA,"K01624",NA,NA,NA,"K01624"
"I5Q82_15580",NA,"QQR29446.1",NA,"K00854",NA,NA,NA,"K00854"
"I5Q82_15585",NA,"QQR29447.1","K00100","K00001,K00100,K08325,K19955",NA,NA,NA,"K00001,K00100,K08325,K19955"
"I5Q82_15590",NA,"QQR29448.1",NA,"K07095",NA,NA,NA,"K07095"
"I5Q82_15595",NA,"QQR29449.1",NA,NA,NA,NA,NA,NA
"I5Q82_15600",NA,"QQR29450.1","K04763","K04763",NA,NA,NA,"K04763"
"I5Q82_15605",NA,"QQR29451.1",NA,"K08600",NA,NA,NA,"K08600"
"I5Q82_15610",NA,"QQR29452.1",NA,NA,NA,NA,NA,NA
"I5Q82_15615",NA,"QQR29453.1",NA,"K12574",NA,NA,NA,"K12574"
"I5Q82_15620",NA,"QQR29454.1",NA,"K19156",NA,NA,NA,"K19156"
"I5Q82_15640",NA,"QQR29455.1",NA,NA,NA,NA,NA,NA
"I5Q82_15645",NA,"QQR29456.1",NA,"K06940",NA,NA,NA,"K06940"
"I5Q82_15650",NA,"QQR29457.1",NA,NA,NA,NA,NA,NA
"I5Q82_15655",NA,"QQR29458.1",NA,NA,NA,NA,NA,NA
"I5Q82_15660",NA,"QQR32163.1",NA,NA,NA,NA,NA,NA
"I5Q82_15665",NA,"QQR29459.1",NA,NA,NA,NA,NA,NA
"I5Q82_15670",NA,"QQR29460.1",NA,NA,NA,NA,NA,NA
"I5Q82_15675",NA,"QQR29461.1",NA,NA,NA,NA,NA,NA
"I5Q82_15680",NA,"QQR29462.1",NA,"K06400",NA,NA,NA,"K06400"
"I5Q82_15685",NA,"QQR29463.1",NA,NA,NA,NA,NA,NA
"I5Q82_15690",NA,"QQR29464.1",NA,"K01356,K07467,K07726,K07729,K15773,K18830,K18831,K20391,K22299,K22300,K22491",NA,NA,NA,"K01356,K07467,K07726,K07729,K15773,K18830,K18831,K20391,K22299,K22300,K22491"
"I5Q82_15695",NA,"QQR29465.1",NA,"K01356,K07467,K07726,K07729,K15773,K18830,K18831,K20391,K22299,K22300,K22491",NA,NA,NA,"K01356,K07467,K07726,K07729,K15773,K18830,K18831,K20391,K22299,K22300,K22491"
"I5Q82_15700",NA,"QQR29466.1",NA,"K07497",NA,NA,NA,"K07497"
"I5Q82_15705",NA,"QQR29467.1",NA,"K02426",NA,NA,NA,"K02426"
"I5Q82_15710",NA,"QQR29468.1",NA,NA,NA,NA,NA,NA
"I5Q82_15715",NA,"QQR29469.1",NA,"K07110,K07729,K21686,K22299,K27097",NA,NA,NA,"K07110,K07729,K21686,K22299,K27097"
"I5Q82_15720",NA,"QQR29470.1",NA,NA,NA,NA,NA,NA
"I5Q82_15725",NA,"QQR29471.1",NA,NA,NA,NA,NA,NA
"I5Q82_15730",NA,"QQR29472.1",NA,"K07273",NA,"GH25",NA,"K07273"
"I5Q82_15735",NA,"QQR29473.1",NA,NA,NA,NA,NA,NA
"I5Q82_15740",NA,"QQR29474.1",NA,NA,NA,NA,NA,NA
"I5Q82_15745",NA,"QQR29475.1",NA,NA,NA,NA,NA,NA
"I5Q82_15750",NA,"QQR32123.1",NA,NA,NA,NA,NA,NA
"I5Q82_15755",NA,"QQR29476.1","K03111","K03111",NA,NA,NA,"K03111"
"I5Q82_15760",NA,"QQR29477.1",NA,NA,NA,NA,NA,NA
"I5Q82_15775","mobC","QQR29478.1",NA,NA,NA,NA,NA,NA
"I5Q82_15780",NA,"QQR29479.1",NA,"K20480,K21686",NA,NA,NA,"K20480,K21686"
"I5Q82_15785",NA,"QQR29480.1","K07666","K02483",NA,NA,NA,"K02483"
"I5Q82_15790",NA,"QQR29481.1",NA,"K07636,K07652,K07768",NA,NA,NA,"K07636,K07652,K07768"
"I5Q82_15795",NA,"QQR29482.1","K02003","K02003",NA,NA,NA,"K02003"
"I5Q82_15800",NA,"QQR29483.1","K02004","K02004",NA,NA,NA,"K02004"
"I5Q82_15805",NA,"QQR29484.1",NA,NA,NA,NA,NA,NA
"I5Q82_15810",NA,"QQR29485.1",NA,NA,NA,NA,NA,NA
"I5Q82_15815",NA,"QQR29486.1",NA,"K18345",NA,NA,NA,"K18345"
"I5Q82_15820",NA,"QQR29487.1",NA,NA,NA,NA,NA,NA
"I5Q82_15825",NA,"QQR29488.1",NA,NA,NA,NA,NA,NA
"I5Q82_15830",NA,"QQR29489.1",NA,NA,NA,NA,NA,NA
"I5Q82_15835",NA,"QQR29490.1",NA,NA,NA,NA,NA,NA
"I5Q82_15840",NA,"QQR29491.1",NA,NA,NA,NA,NA,NA
"I5Q82_15845",NA,"QQR29492.1",NA,NA,NA,NA,NA,NA
"I5Q82_15850",NA,"QQR29493.1",NA,"K03497",NA,NA,NA,"K03497"
"I5Q82_15855",NA,"QQR29494.1","K03496","K03496",NA,NA,NA,"K03496"
"I5Q82_15860",NA,"QQR29495.1",NA,"K02448",NA,NA,NA,"K02448"
"I5Q82_15865",NA,"QQR29496.1",NA,NA,NA,NA,NA,NA
"I5Q82_15870",NA,"QQR29497.1",NA,"K07473",NA,NA,NA,"K07473"
"I5Q82_15875",NA,"QQR29498.1",NA,"K07063",NA,NA,NA,"K07063"
"I5Q82_15880",NA,"QQR29499.1",NA,NA,NA,NA,NA,NA
"I5Q82_15885",NA,"QQR29500.1",NA,NA,NA,NA,NA,NA
"I5Q82_15890",NA,"QQR29501.1",NA,NA,NA,NA,NA,NA
"I5Q82_15895",NA,"QQR29502.1","K03581","K03581",NA,NA,NA,"K03581"
"I5Q82_15900",NA,"QQR29503.1",NA,NA,NA,NA,NA,NA
"I5Q82_15905",NA,"QQR29504.1",NA,NA,NA,NA,NA,NA
"I5Q82_15910",NA,"QQR29505.1",NA,NA,NA,NA,NA,NA
"I5Q82_15915",NA,"QQR29506.1",NA,NA,NA,NA,NA,NA
"I5Q82_15920",NA,"QQR29507.1",NA,"K05376",NA,NA,NA,"K05376"
"I5Q82_15925",NA,"QQR29508.1",NA,"K18640",NA,NA,NA,"K18640"
"I5Q82_15930",NA,"QQR29509.1",NA,NA,NA,NA,NA,NA
"I5Q82_15935",NA,"QQR29510.1",NA,"K26992",NA,NA,NA,"K26992"
"I5Q82_15940",NA,"QQR29511.1",NA,"K26990",NA,NA,NA,"K26990"
"I5Q82_15945",NA,"QQR29512.1",NA,NA,NA,NA,NA,NA
"I5Q82_15950",NA,"QQR29513.1",NA,"K06400",NA,NA,NA,"K06400"
"I5Q82_15960",NA,"QQR29514.1",NA,NA,NA,NA,NA,NA
"I5Q82_15965",NA,"QQR29515.1","K28279",NA,NA,NA,NA,"K28279"
"I5Q82_15970",NA,"QQR29516.1",NA,NA,NA,NA,NA,NA
"I5Q82_15975",NA,"QQR29517.1",NA,NA,NA,NA,NA,NA
"I5Q82_15980",NA,"QQR29518.1",NA,NA,NA,NA,NA,NA
"I5Q82_15985",NA,"QQR29519.1",NA,"K19092",NA,NA,NA,"K19092"
"I5Q82_15990",NA,"QQR29520.1",NA,"K07486",NA,NA,NA,"K07486"
"I5Q82_15995",NA,"QQR29521.1",NA,NA,NA,NA,NA,NA
"I5Q82_16000",NA,"QQR29522.1",NA,NA,NA,NA,NA,NA
"I5Q82_16005",NA,"QQR29523.1",NA,NA,NA,NA,NA,NA
"I5Q82_16015",NA,"QQR29524.1",NA,"K07726",NA,NA,NA,"K07726"
"I5Q82_16020",NA,"QQR29525.1",NA,NA,NA,NA,NA,NA
"I5Q82_16025",NA,"QQR29526.1",NA,NA,NA,NA,NA,NA
"I5Q82_16030",NA,"QQR29527.1",NA,NA,NA,NA,NA,NA
"I5Q82_16040",NA,"QQR29528.1",NA,"K13695,K19223,K19224,K21471",NA,NA,NA,"K13695,K19223,K19224,K21471"
"I5Q82_16050",NA,"QQR29529.1",NA,NA,NA,NA,NA,NA
"I5Q82_16055",NA,"QQR29530.1",NA,NA,NA,NA,NA,NA
"I5Q82_16060",NA,"QQR29531.1",NA,NA,NA,NA,NA,NA
"I5Q82_16065",NA,"QQR32124.1",NA,"K03205",NA,NA,NA,"K03205"
"I5Q82_16070",NA,"QQR29532.1",NA,"K18923",NA,NA,NA,"K18923"
"I5Q82_16075",NA,"QQR29533.1","K02945","K13734",NA,NA,NA,"K13734"
"I5Q82_16080",NA,"QQR29534.1",NA,NA,NA,NA,NA,NA
"I5Q82_16085",NA,"QQR29535.1",NA,"K03090,K03091,K27000",NA,NA,NA,"K03090,K03091,K27000"
"I5Q82_16090","lepB","QQR29536.1",NA,"K03100",NA,NA,NA,"K03100"
"I5Q82_16095",NA,"QQR29537.1",NA,"K02171",NA,NA,NA,"K02171"
"I5Q82_16100",NA,"QQR29538.1",NA,NA,NA,NA,NA,NA
"I5Q82_16105",NA,"QQR29539.1",NA,NA,NA,NA,NA,NA
"I5Q82_16110",NA,"QQR29540.1",NA,NA,NA,NA,NA,NA
"I5Q82_16115",NA,"QQR29541.1",NA,"K02027",NA,NA,NA,"K02027"
"I5Q82_16120",NA,"QQR29542.1","K02025","K02025",NA,NA,NA,"K02025"
"I5Q82_16125",NA,"QQR29543.1","K05815","K02026",NA,NA,NA,"K02026"
"I5Q82_16130",NA,"QQR29544.1",NA,NA,NA,NA,NA,NA
"I5Q82_16135",NA,"QQR29545.1",NA,"K06147,K11085",NA,NA,NA,"K06147,K11085"
"I5Q82_16140",NA,"QQR29546.1","K06871","K06871",NA,NA,NA,"K06871"
"I5Q82_16145",NA,"QQR29547.1",NA,NA,NA,NA,NA,NA
"I5Q82_16150",NA,"QQR29548.1",NA,NA,NA,NA,NA,NA
"I5Q82_16155",NA,"QQR29549.1",NA,"K02027",NA,NA,NA,"K02027"
"I5Q82_16160",NA,"QQR29550.1",NA,NA,NA,NA,NA,NA
"I5Q82_16165",NA,"QQR29551.1",NA,"K02027",NA,NA,NA,"K02027"
"I5Q82_16170",NA,"QQR32164.1",NA,NA,NA,NA,NA,NA
"I5Q82_16175",NA,"QQR29552.1",NA,NA,NA,NA,NA,NA
"I5Q82_16180",NA,"QQR29553.1","K06223","K06223",NA,NA,NA,"K06223"
"I5Q82_16185",NA,"QQR29554.1",NA,"K01356,K03503,K06211,K07110,K07729,K14260,K18831,K20480,K21686,K22299,K22300",NA,NA,NA,"K01356,K03503,K06211,K07110,K07729,K14260,K18831,K20480,K21686,K22299,K22300"
"I5Q82_16190",NA,"QQR29555.1",NA,NA,NA,NA,NA,NA
"I5Q82_16195",NA,"QQR29556.1",NA,NA,NA,NA,NA,NA
"I5Q82_16200",NA,"QQR29557.1",NA,NA,NA,NA,NA,NA
"I5Q82_16205",NA,"QQR29558.1",NA,NA,NA,NA,NA,NA
"I5Q82_16210",NA,"QQR29559.1","K21528","K06400",NA,NA,NA,"K06400"
"I5Q82_16215",NA,"QQR29560.1",NA,"K02027",NA,NA,NA,"K02027"
"I5Q82_16220",NA,"QQR29561.1",NA,NA,NA,NA,NA,NA
"I5Q82_16225",NA,"QQR29562.1",NA,"K02025",NA,NA,NA,"K02025"
"I5Q82_16230",NA,"QQR29563.1","K02026","K02026",NA,NA,NA,"K02026"
"I5Q82_16235",NA,"QQR29564.1",NA,NA,NA,NA,NA,NA
"I5Q82_16240",NA,"QQR29565.1",NA,NA,NA,NA,NA,NA
"I5Q82_16245",NA,"QQR29566.1",NA,"K04763",NA,NA,NA,"K04763"
"I5Q82_16250","srtB","QQR29567.1","K08600","K08600",NA,NA,NA,"K08600"
"I5Q82_16255",NA,"QQR29568.1",NA,NA,NA,NA,NA,NA
"I5Q82_16260",NA,"QQR29569.1",NA,"K19092",NA,NA,NA,"K19092"
"I5Q82_16265",NA,"QQR29570.1",NA,NA,NA,NA,NA,NA
"I5Q82_16270",NA,"QQR29571.1",NA,NA,NA,NA,NA,NA
"I5Q82_16275",NA,"QQR29572.1",NA,NA,NA,NA,NA,NA
"I5Q82_16280",NA,"QQR29573.1",NA,NA,NA,NA,NA,NA
"I5Q82_16285",NA,"QQR29574.1",NA,"K12574",NA,NA,NA,"K12574"
"I5Q82_16290",NA,"QQR29575.1",NA,"K07473",NA,NA,NA,"K07473"
"I5Q82_16295",NA,"QQR29576.1","K19157","K19157",NA,NA,NA,"K19157"
"I5Q82_16300",NA,"QQR29577.1",NA,NA,NA,NA,NA,NA
"I5Q82_16305","ligA","QQR29578.1",NA,"K01972",NA,NA,NA,"K01972"
"I5Q82_16310",NA,"QQR29579.1",NA,NA,NA,NA,NA,NA
"I5Q82_16315",NA,"QQR29580.1",NA,NA,NA,NA,NA,NA
"I5Q82_16320",NA,"QQR29581.1",NA,NA,NA,NA,NA,NA
"I5Q82_16325",NA,"QQR29582.1",NA,NA,NA,NA,NA,NA
"I5Q82_16330",NA,"QQR29583.1","K06940","K06940",NA,NA,NA,"K06940"
"I5Q82_16335",NA,"QQR29584.1",NA,NA,NA,NA,NA,NA
"I5Q82_16340",NA,"QQR29585.1",NA,NA,NA,NA,NA,NA
"I5Q82_16345",NA,"QQR29586.1",NA,NA,NA,NA,NA,NA
"I5Q82_16350",NA,"QQR29587.1",NA,NA,NA,NA,NA,NA
"I5Q82_16355",NA,"QQR29588.1",NA,NA,NA,NA,NA,NA
"I5Q82_16360",NA,"QQR29589.1",NA,NA,NA,NA,NA,NA
"I5Q82_16365",NA,"QQR29590.1",NA,"K03111",NA,NA,NA,"K03111"
"I5Q82_16370",NA,"QQR29591.1",NA,"K00045",NA,NA,NA,"K00045"
"I5Q82_16380",NA,"QQR29592.1",NA,"K03086,K03088,K03091",NA,NA,NA,"K03086,K03088,K03091"
"I5Q82_16385",NA,"QQR29593.1",NA,NA,NA,NA,NA,NA
"I5Q82_16390",NA,"QQR29594.1",NA,NA,NA,NA,NA,NA
"I5Q82_16395",NA,"QQR29595.1",NA,"K02448",NA,NA,NA,"K02448"
"I5Q82_16400",NA,"QQR29596.1",NA,NA,NA,NA,NA,NA
"I5Q82_16405",NA,"QQR29597.1",NA,"K01356,K01990,K07726,K07729,K10914,K14056,K15256,K15773,K16868,K20373,K20374,K20391,K21498,K22300",NA,NA,NA,"K01356,K01990,K07726,K07729,K10914,K14056,K15256,K15773,K16868,K20373,K20374,K20391,K21498,K22300"
"I5Q82_16410",NA,"QQR32125.1","K03581","K03581",NA,NA,NA,"K03581"
"I5Q82_16415",NA,"QQR29598.1",NA,NA,NA,NA,NA,NA
"I5Q82_16420",NA,"QQR29599.1",NA,NA,NA,NA,NA,NA
"I5Q82_16425",NA,"QQR29600.1",NA,NA,NA,NA,NA,NA
"I5Q82_16430",NA,"QQR29601.1",NA,"K18640",NA,NA,NA,"K18640"
"I5Q82_16435",NA,"QQR29602.1",NA,NA,NA,NA,NA,NA
"I5Q82_16440",NA,"QQR29603.1",NA,"K26992",NA,NA,NA,"K26992"
"I5Q82_16445",NA,"QQR29604.1",NA,"K26990",NA,NA,NA,"K26990"
"I5Q82_16450",NA,"QQR29605.1",NA,NA,NA,NA,NA,NA
"I5Q82_16455",NA,"QQR29606.1",NA,"K06400",NA,NA,NA,"K06400"
"I5Q82_16460",NA,"QQR29607.1",NA,NA,NA,NA,NA,NA
"I5Q82_16465",NA,"QQR29608.1","K05366","K05366",NA,"GT51",NA,"K05366"
"I5Q82_16470",NA,"QQR29609.1","K00003","K00003",NA,NA,NA,"K00003"
"I5Q82_16475",NA,"QQR29610.1","K00872","K00872",NA,NA,NA,"K00872"
"I5Q82_16480",NA,"QQR29611.1","K00928","K00928",NA,NA,NA,"K00928"
"I5Q82_16485",NA,"QQR29612.1",NA,NA,NA,NA,NA,NA
"I5Q82_16490",NA,"QQR29613.1",NA,"K02171",NA,NA,NA,"K02171"
"I5Q82_16495","sfsA","QQR29614.1","K06206","K06206",NA,NA,NA,"K06206"
"I5Q82_16500",NA,"QQR29615.1","K07391","K07391",NA,NA,NA,"K07391"
"I5Q82_16505",NA,"QQR29616.1",NA,NA,NA,NA,NA,NA
"I5Q82_16510",NA,"QQR29617.1","K00639","K00639",NA,NA,NA,"K00639"
"I5Q82_16515","tdh","QQR29618.1","K00060","K00060",NA,NA,NA,"K00060"
"I5Q82_16520",NA,"QQR29619.1",NA,"K19689",NA,NA,NA,"K19689"
"I5Q82_16525",NA,"QQR29620.1","K00868","K00868",NA,NA,NA,"K00868"
"I5Q82_16530",NA,"QQR29621.1","K14058","K14058",NA,NA,NA,"K14058"
"I5Q82_16535",NA,"QQR29622.1","K09749","K09749",NA,NA,NA,"K09749"
"I5Q82_16540",NA,"QQR32126.1","K03641","K03641",NA,NA,NA,"K03641"
"I5Q82_16545",NA,"QQR29623.1","K01740","K01740",NA,NA,NA,"K01740"
"I5Q82_16550",NA,"QQR29624.1",NA,NA,NA,NA,NA,NA
"I5Q82_16555",NA,"QQR29625.1",NA,"K05349",NA,"GH3",NA,"K05349"
"I5Q82_16560",NA,"QQR29626.1",NA,NA,NA,NA,NA,NA
"I5Q82_16565","proC","QQR29627.1","K00286","K00286",NA,NA,NA,"K00286"
"I5Q82_16570",NA,"QQR29628.1","K00147","K00147",NA,NA,NA,"K00147"
"I5Q82_16575","proB","QQR29629.1","K00931","K00931",NA,NA,NA,"K00931"
"I5Q82_16580",NA,"QQR29630.1",NA,NA,NA,NA,NA,NA
"I5Q82_16585","hydF","QQR29631.1",NA,"K03150,K03595,K03977,K04759,K06883,K06946",NA,NA,NA,"K03150,K03595,K03977,K04759,K06883,K06946"
"I5Q82_16590","hydG","QQR29632.1","K03150","K03150",NA,NA,NA,"K03150"
"I5Q82_16595",NA,"QQR29633.1",NA,"K18896",NA,NA,NA,"K18896"
"I5Q82_16600",NA,"QQR29634.1",NA,"K00657,K10773,K13010,K15896,K15897,K15898",NA,NA,NA,"K00657,K10773,K13010,K15896,K15897,K15898"
"I5Q82_16605","hydE","QQR29635.1","K01012","K01012",NA,NA,NA,"K01012"
"I5Q82_16610",NA,"QQR29636.1",NA,NA,NA,NA,NA,NA
"I5Q82_16615","miaB","QQR29637.1","K06168","K06168",NA,NA,NA,"K06168"
"I5Q82_16620",NA,"QQR29638.1",NA,NA,NA,NA,NA,NA
"I5Q82_16625",NA,"QQR29639.1",NA,NA,NA,NA,NA,NA
"I5Q82_16630","mutS","QQR29640.1","K03555","K03555",NA,NA,NA,"K03555"
"I5Q82_16635",NA,"QQR29641.1",NA,"K16868,K22843",NA,NA,NA,"K16868,K22843"
"I5Q82_16640",NA,"QQR29642.1",NA,NA,NA,NA,NA,NA
"I5Q82_16645","mutL","QQR29643.1","K03572","K03572",NA,NA,NA,"K03572"
"I5Q82_16650","miaA","QQR29644.1","K00791","K00791",NA,NA,NA,"K00791"
"I5Q82_16655",NA,"QQR29645.1",NA,"K02005",NA,NA,NA,"K02005"
"I5Q82_16660",NA,"QQR29646.1","K06997","K06997",NA,NA,NA,"K06997"
"I5Q82_16665",NA,"QQR29647.1","K09772","K09772",NA,NA,NA,"K09772"
"I5Q82_16670",NA,"QQR29648.1",NA,NA,NA,NA,NA,NA
"I5Q82_16675",NA,"QQR29649.1",NA,"K04074",NA,NA,NA,"K04074"
"I5Q82_16680","lspA","QQR29650.1","K03101","K03101",NA,NA,NA,"K03101"
"I5Q82_16685",NA,"QQR29651.1","K06180","K06180",NA,NA,NA,"K06180"
"I5Q82_16690",NA,"QQR29652.1",NA,NA,NA,NA,NA,NA
"I5Q82_16695",NA,"QQR29653.1",NA,NA,NA,NA,NA,NA
"I5Q82_16700",NA,"QQR29654.1","K09777","K09777",NA,NA,NA,"K09777"
"I5Q82_16705","gmk","QQR29655.1","K00942","K00942",NA,NA,NA,"K00942"
"I5Q82_16710",NA,"QQR29656.1",NA,"K03060",NA,NA,NA,"K03060"
"I5Q82_16715","priA","QQR29657.1","K04066","K04066",NA,NA,NA,"K04066"
"I5Q82_16720","def","QQR29658.1","K01462","K01462",NA,NA,NA,"K01462"
"I5Q82_16725",NA,"QQR29659.1","K00604","K00604",NA,NA,NA,"K00604"
"I5Q82_16730","rsmB","QQR29660.1","K03500","K03500",NA,NA,NA,"K03500"
"I5Q82_16735","rlmN","QQR29661.1","K06941","K06941",NA,NA,NA,"K06941"
"I5Q82_16740",NA,"QQR29662.1","K20074","K20074",NA,NA,NA,"K20074"
"I5Q82_16745","pknB","QQR29663.1","K12132","K12132",NA,NA,NA,"K12132"
"I5Q82_16750","rsgA","QQR29664.1","K06949","K06949",NA,NA,NA,"K06949"
"I5Q82_16755",NA,"QQR29665.1","K00949","K00949",NA,NA,NA,"K00949"
"I5Q82_16760",NA,"QQR32165.1",NA,NA,NA,NA,NA,NA
"I5Q82_16765","spoIVB","QQR29666.1","K06399","K06399",NA,NA,NA,"K06399"
"I5Q82_16770",NA,"QQR29667.1","K17462","K17462",NA,NA,NA,"K17462"
"I5Q82_16775",NA,"QQR29668.1",NA,NA,NA,NA,NA,NA
"I5Q82_16780",NA,"QQR29669.1",NA,"K00176",NA,NA,NA,"K00176"
"I5Q82_16785",NA,"QQR32127.1","K00174","K00174",NA,NA,NA,"K00174"
"I5Q82_16790",NA,"QQR29670.1","K00175","K00175",NA,NA,NA,"K00175"
"I5Q82_16795",NA,"QQR32128.1","K00177","K00177",NA,NA,NA,"K00177"
"I5Q82_16800","eno","QQR29671.1","K01689","K01689",NA,NA,NA,"K01689"
"I5Q82_16805",NA,"QQR29672.1",NA,"K00657,K02851",NA,NA,NA,"K00657,K02851"
"I5Q82_16810",NA,"QQR29673.1",NA,NA,NA,NA,NA,NA
"I5Q82_16815",NA,"QQR29674.1",NA,NA,NA,NA,NA,NA
"I5Q82_16820",NA,"QQR29675.1",NA,NA,NA,NA,NA,NA
"I5Q82_16825",NA,"QQR29676.1",NA,NA,NA,NA,NA,NA
